streetAddress,addressLoc,addressReg,postalCode,latitute,longitude,price,beds,baths,sqft
3203 Cline St,Houston,TX,77020,29.766825,-95.33733,$369900,3bd,3ba,1992 sqft
7950 N Stadium Dr #199,Houston,TX,77030,29.69432,-95.40915,$137500,1bd,1ba,729 sqft
10707 Karter Ct,Houston,TX,77064,29.903639,-95.57862,$339900,4bd,4ba,3516 sqft
2303 Altman Trl,Houston,TX,77014,29.988,-95.486,$209262,4bd,3ba,2129 sqft
3002 Maple Grove Ln,Houston,TX,77092,29.815714,-95.45633,$329000,4bd,2ba,1754 sqft
1900 Genesee St #207,Houston,TX,77006,29.75141,-95.384346,$274000,2bd,2ba,1074 sqft
4819 Caroline St #405,Houston,TX,77004,29.729597,-95.38234,$437595,2bd,3ba,1412 sqft
1608 W Webster St #A,Houston,TX,77019,29.752123,-95.38334,$575000,3bd,4ba,2828 sqft
2120 Kirk St,Houston,TX,77026,29.783884,-95.32611,$22900,3bd,3ba,2638 sqft
2415 Lidstone St,Houston,TX,77023,29.715965,-95.321266,$350000,4bd,4ba,2187 sqft
14606 Bramblewood Dr,Houston,TX,77079,29.763329,-95.606735,$319000,3bd,3ba,2359 sqft
3905 Barnes St #B,Houston,TX,77007,29.76897,-95.39987,$390000,4bd,2ba,2539 sqft
7406 Wileyvale Rd,Houston,TX,77016,29.826937,-95.31629,$14500,3bd,2ba,1369 sqft
14688 Perthshire Rd #B,Houston,TX,77079,29.774336,-95.60803,$215000,2bd,6ba,1871 sqft
8660 Wilcrest Dr #8660,Houston,TX,77099,29.683641,-95.56993,$95000,4bd,1ba,3851 sqft
18034 Bal Harbour Dr,Houston,TX,77058,29.554314,-95.07712,$192000,3bd,2ba,1000 sqft
7202 Raton St,Houston,TX,77055,29.801455,-95.47316,$950000,4bd,3ba,1794 sqft
6621 Conley St,Houston,TX,77021,29.692461,-95.3574,$95000,3bd,2ba,2113 sqft
7430 Tall Pines Dr,Houston,TX,77088,29.868872,-95.47822,$155000,3bd,3ba,2548 sqft
14611 Sanour Dr,Houston,TX,77084,29.853,-95.6357,$274690,4bd,2ba,3165 sqft
1611 Wentworth St,Houston,TX,77004,29.72837,-95.37929,$515000,3bd,2ba,1710 sqft
5102 Navigation Blvd,Houston,TX,77011,29.7499,-95.3213,$275000,4bd,1ba,1014 sqft
13334 Bibb Dr,Houston,TX,77069,29.985964,-95.50879,$245000,1bd,3ba,755 sqft
4714 Blanton Blvd,Houston,TX,77092,29.83671,-95.45713,$289000,3bd,5ba,2116 sqft
5610 Heather Run,Houston,TX,77041,29.849401,-95.60097,$349000,4bd,3ba,2712 sqft
5003 Lehman Oaks Dr #26EC7,Houston,TX,77018,29.827,-95.425,$334990,3bd,3ba,1423 sqft
5925 Almeda Rd #10714,Houston,TX,77004,29.714924,-95.38083,$599900,2bd,2ba,1469 sqft
5003 Lehman Oaks Dr #CTPS3T,Houston,TX,77018,29.827,-95.425,$349990,3bd,3ba,1758 sqft
8015 Streamside Dr,Houston,TX,77088,29.8859,-95.46866,$158000,3bd,2ba,1918 sqft
2506 Warwick Rd,Houston,TX,77093,29.878386,-95.34713,$139000,3bd,1ba,1208 sqft
6215 Heatherbrook Dr,Houston,TX,77085,29.621027,-95.477806,$179900,3bd,2ba,2052 sqft
10911 Doud St,Houston,TX,77035,29.662037,-95.46551,$388000,4bd,3ba,2350 sqft
9020 Harbor Hills Dr,Houston,TX,77054,29.670942,-95.42176,$324900,3bd,4ba,2148 sqft
12005 Palmcrest St,Houston,TX,77034,29.62822,-95.2112,$169900,3bd,2ba,1380 sqft
8010 Mullins Dr,Houston,TX,77081,29.69173,-95.48749,$570000,4bd,3ba,2650 sqft
3413 Kashmere St,Houston,TX,77026,29.79156,-95.324234,$29500,3bd,3ba,1332 sqft
8323 Wilcrest Dr #10020,Houston,TX,77072,29.686773,-95.56965,$89900,3bd,3ba,1503 sqft
5003 Lehman Oaks Dr #NQ940Z,Houston,TX,77018,29.827,-95.425,$336990,4bd,3ba,2672 sqft
6615 W Nanaksar Dr,Houston,TX,77041,29.870646,-95.59983,$324900,2bd,2ba,1228 sqft
1101 W Gardner St,Houston,TX,77009,29.795895,-95.38629,$599900,2bd,2ba,1816 sqft
6647 Bayou Glen Rd #6647,Houston,TX,77057,29.760748,-95.49786,$350000,3bd,1ba,1100 sqft
7423 Stanwick Dr,Houston,TX,77087,29.676535,-95.29579,$123500,3bd,2ba,2127 sqft
4538 Waring St,Houston,TX,77027,29.734678,-95.4534,$999000,3bd,2ba,1440 sqft
10835 Maple Leaf St,Houston,TX,77016,29.87237,-95.304924,$188000,4bd,3ba,2188 sqft
1154 Bethlehem St,Houston,TX,77018,29.837908,-95.428116,$519000,2bd,2ba,2372 sqft
14730 Charlmont Dr,Houston,TX,77083,29.68212,-95.64696,$235000,3bd,3ba,1263 sqft
1410 Hyde Park Blvd #209,Houston,TX,77006,29.747568,-95.39537,$359000,3bd,4ba,1897 sqft
5003 Golden Forest Dr,Houston,TX,77091,29.842772,-95.465225,$219000,3bd,2ba,2353 sqft
1202 W 16th St #C,Houston,TX,77008,29.799517,-95.420166,$479500,4bd,3ba,1430 sqft
112 N Hutcheson St,Houston,TX,77003,29.75107,-95.33591,$309900,4bd,3ba,2481 sqft
19703 Regal Crest Ct,Houston,TX,77073,29.977612,-95.401344,$210750,2bd,2ba,2572 sqft
